text,label
Man builds rocket to prove Earth is flat,fake
Robot becomes president of small country,fake
Government hiding the existence of mermaids,fake
Invisibility cloak becomes available on Amazon,fake
Robot becomes president of small country,fake
Medical breakthrough in cancer treatment,real
Stock market reaches record highs,real
Apple announces new iPhone model,real
Man builds rocket to prove Earth is flat,fake
Government hiding the existence of mermaids,fake
Apple announces new iPhone model,real
Medical breakthrough in cancer treatment,real
Aliens land in New York City,fake
Stock market reaches record highs,real
Vampire caught on CCTV in London,fake
New species of bird discovered in the Amazon,real
Stock market reaches record highs,real
Scientists clone dinosaurs in secret lab,fake
Time traveler reveals winning lottery numbers,fake
Time traveler reveals winning lottery numbers,fake
Robot becomes president of small country,fake
Time traveler reveals winning lottery numbers,fake
NASA discovers water on the moon,real
Time traveler reveals winning lottery numbers,fake
Global climate deal reached at UN summit,real
Aliens land in New York City,fake
Vampire caught on CCTV in London,fake
Man builds rocket to prove Earth is flat,fake
"Moon made of cheese, researchers claim",fake
Vampire caught on CCTV in London,fake
NASA discovers water on the moon,real
Government hiding the existence of mermaids,fake
Vampire caught on CCTV in London,fake
Cure for aging found in remote jungle,fake
Medical breakthrough in cancer treatment,real
India launches successful Mars mission,real
Aliens land in New York City,fake
Vampire caught on CCTV in London,fake
"Moon made of cheese, researchers claim",fake
India launches successful Mars mission,real
Apple announces new iPhone model,real
Scientists clone dinosaurs in secret lab,fake
Aliens land in New York City,fake
Time traveler reveals winning lottery numbers,fake
India launches successful Mars mission,real
Scientists clone dinosaurs in secret lab,fake
India launches successful Mars mission,real
New species of bird discovered in the Amazon,real
New species of bird discovered in the Amazon,real
NASA discovers water on the moon,real
Scientists clone dinosaurs in secret lab,fake
Vampire caught on CCTV in London,fake
Cure for aging found in remote jungle,fake
Electric cars outsell gasoline vehicles in Europe,real
Time traveler reveals winning lottery numbers,fake
Robot becomes president of small country,fake
Robot becomes president of small country,fake
Robot becomes president of small country,fake
NASA discovers water on the moon,real
Robot becomes president of small country,fake
Apple announces new iPhone model,real
Man builds rocket to prove Earth is flat,fake
Apple announces new iPhone model,real
New species of bird discovered in the Amazon,real
Man builds rocket to prove Earth is flat,fake
India launches successful Mars mission,real
India launches successful Mars mission,real
"Moon made of cheese, researchers claim",fake
Government hiding the existence of mermaids,fake
Electric cars outsell gasoline vehicles in Europe,real
Stock market reaches record highs,real
New species of bird discovered in the Amazon,real
Vampire caught on CCTV in London,fake
Vampire caught on CCTV in London,fake
Invisibility cloak becomes available on Amazon,fake
Electric cars outsell gasoline vehicles in Europe,real
Robot becomes president of small country,fake
Cure for aging found in remote jungle,fake
India launches successful Mars mission,real
Stock market reaches record highs,real
Global climate deal reached at UN summit,real
New species of bird discovered in the Amazon,real
Government hiding the existence of mermaids,fake
New species of bird discovered in the Amazon,real
Vampire caught on CCTV in London,fake
COVID-19 vaccines reduce hospitalization rates,real
Aliens land in New York City,fake
Man builds rocket to prove Earth is flat,fake
New species of bird discovered in the Amazon,real
Stock market reaches record highs,real
Scientists clone dinosaurs in secret lab,fake
New species of bird discovered in the Amazon,real
Scientists develop eco-friendly battery,real
Invisibility cloak becomes available on Amazon,fake
Invisibility cloak becomes available on Amazon,fake
Stock market reaches record highs,real
Aliens land in New York City,fake
Time traveler reveals winning lottery numbers,fake
Apple announces new iPhone model,real
Scientists clone dinosaurs in secret lab,fake
Man builds rocket to prove Earth is flat,fake
Invisibility cloak becomes available on Amazon,fake
Vampire caught on CCTV in London,fake
Man builds rocket to prove Earth is flat,fake
Electric cars outsell gasoline vehicles in Europe,real
India launches successful Mars mission,real
NASA discovers water on the moon,real
Cure for aging found in remote jungle,fake
Cure for aging found in remote jungle,fake
Electric cars outsell gasoline vehicles in Europe,real
Apple announces new iPhone model,real
Global climate deal reached at UN summit,real
Cure for aging found in remote jungle,fake
Scientists clone dinosaurs in secret lab,fake
NASA discovers water on the moon,real
Scientists clone dinosaurs in secret lab,fake
Cure for aging found in remote jungle,fake
Aliens land in New York City,fake
Scientists clone dinosaurs in secret lab,fake
Aliens land in New York City,fake
Robot becomes president of small country,fake
Stock market reaches record highs,real
Vampire caught on CCTV in London,fake
COVID-19 vaccines reduce hospitalization rates,real
Scientists clone dinosaurs in secret lab,fake
Scientists develop eco-friendly battery,real
Electric cars outsell gasoline vehicles in Europe,real
Apple announces new iPhone model,real
New species of bird discovered in the Amazon,real
Medical breakthrough in cancer treatment,real
New species of bird discovered in the Amazon,real
Cure for aging found in remote jungle,fake
Stock market reaches record highs,real
Apple announces new iPhone model,real
Scientists develop eco-friendly battery,real
"Moon made of cheese, researchers claim",fake
Aliens land in New York City,fake
Robot becomes president of small country,fake
"Moon made of cheese, researchers claim",fake
India launches successful Mars mission,real
Apple announces new iPhone model,real
Government hiding the existence of mermaids,fake
Time traveler reveals winning lottery numbers,fake
Cure for aging found in remote jungle,fake
Global climate deal reached at UN summit,real
Scientists clone dinosaurs in secret lab,fake
Apple announces new iPhone model,real
Cure for aging found in remote jungle,fake
Invisibility cloak becomes available on Amazon,fake
Scientists develop eco-friendly battery,real
Government hiding the existence of mermaids,fake
Global climate deal reached at UN summit,real
NASA discovers water on the moon,real
Apple announces new iPhone model,real
"Moon made of cheese, researchers claim",fake
COVID-19 vaccines reduce hospitalization rates,real
NASA discovers water on the moon,real
"Moon made of cheese, researchers claim",fake
Robot becomes president of small country,fake
COVID-19 vaccines reduce hospitalization rates,real
New species of bird discovered in the Amazon,real
Time traveler reveals winning lottery numbers,fake
Cure for aging found in remote jungle,fake
Global climate deal reached at UN summit,real
NASA discovers water on the moon,real
Cure for aging found in remote jungle,fake
Scientists clone dinosaurs in secret lab,fake
Medical breakthrough in cancer treatment,real
Medical breakthrough in cancer treatment,real
Invisibility cloak becomes available on Amazon,fake
Government hiding the existence of mermaids,fake
Man builds rocket to prove Earth is flat,fake
Man builds rocket to prove Earth is flat,fake
Government hiding the existence of mermaids,fake
Electric cars outsell gasoline vehicles in Europe,real
Stock market reaches record highs,real
Invisibility cloak becomes available on Amazon,fake
COVID-19 vaccines reduce hospitalization rates,real
Scientists clone dinosaurs in secret lab,fake
"Moon made of cheese, researchers claim",fake
COVID-19 vaccines reduce hospitalization rates,real
NASA discovers water on the moon,real
Global climate deal reached at UN summit,real
Scientists clone dinosaurs in secret lab,fake
Time traveler reveals winning lottery numbers,fake
Vampire caught on CCTV in London,fake
New species of bird discovered in the Amazon,real
Electric cars outsell gasoline vehicles in Europe,real
India launches successful Mars mission,real
Medical breakthrough in cancer treatment,real
Medical breakthrough in cancer treatment,real
Robot becomes president of small country,fake
Government hiding the existence of mermaids,fake
India launches successful Mars mission,real
Scientists develop eco-friendly battery,real
Time traveler reveals winning lottery numbers,fake
Scientists clone dinosaurs in secret lab,fake
India launches successful Mars mission,real
Scientists clone dinosaurs in secret lab,fake
Man builds rocket to prove Earth is flat,fake
COVID-19 vaccines reduce hospitalization rates,real
New species of bird discovered in the Amazon,real
Scientists clone dinosaurs in secret lab,fake
Robot becomes president of small country,fake
NASA discovers water on the moon,real
Stock market reaches record highs,real
Invisibility cloak becomes available on Amazon,fake
Government hiding the existence of mermaids,fake
Cure for aging found in remote jungle,fake
Scientists develop eco-friendly battery,real
Medical breakthrough in cancer treatment,real
Time traveler reveals winning lottery numbers,fake
Apple announces new iPhone model,real
Robot becomes president of small country,fake
India launches successful Mars mission,real
Government hiding the existence of mermaids,fake
Time traveler reveals winning lottery numbers,fake
Cure for aging found in remote jungle,fake
Stock market reaches record highs,real
Electric cars outsell gasoline vehicles in Europe,real
Cure for aging found in remote jungle,fake
India launches successful Mars mission,real
Man builds rocket to prove Earth is flat,fake
Apple announces new iPhone model,real
Robot becomes president of small country,fake
Global climate deal reached at UN summit,real
Time traveler reveals winning lottery numbers,fake
New species of bird discovered in the Amazon,real
Government hiding the existence of mermaids,fake
Government hiding the existence of mermaids,fake
Stock market reaches record highs,real
Cure for aging found in remote jungle,fake
Stock market reaches record highs,real
"Moon made of cheese, researchers claim",fake
New species of bird discovered in the Amazon,real
Medical breakthrough in cancer treatment,real
"Moon made of cheese, researchers claim",fake
Scientists develop eco-friendly battery,real
COVID-19 vaccines reduce hospitalization rates,real
"Moon made of cheese, researchers claim",fake
Electric cars outsell gasoline vehicles in Europe,real
Apple announces new iPhone model,real
Robot becomes president of small country,fake
New species of bird discovered in the Amazon,real
New species of bird discovered in the Amazon,real
New species of bird discovered in the Amazon,real
COVID-19 vaccines reduce hospitalization rates,real
India launches successful Mars mission,real
COVID-19 vaccines reduce hospitalization rates,real
"Moon made of cheese, researchers claim",fake
Scientists develop eco-friendly battery,real
Vampire caught on CCTV in London,fake
Cure for aging found in remote jungle,fake
New species of bird discovered in the Amazon,real
India launches successful Mars mission,real
Time traveler reveals winning lottery numbers,fake
COVID-19 vaccines reduce hospitalization rates,real
COVID-19 vaccines reduce hospitalization rates,real
NASA discovers water on the moon,real
Scientists develop eco-friendly battery,real
Robot becomes president of small country,fake
Vampire caught on CCTV in London,fake
India launches successful Mars mission,real
Man builds rocket to prove Earth is flat,fake
Electric cars outsell gasoline vehicles in Europe,real
"Moon made of cheese, researchers claim",fake
Invisibility cloak becomes available on Amazon,fake
Aliens land in New York City,fake
Global climate deal reached at UN summit,real
Apple announces new iPhone model,real
Cure for aging found in remote jungle,fake
Robot becomes president of small country,fake
Medical breakthrough in cancer treatment,real
Aliens land in New York City,fake
Apple announces new iPhone model,real
Scientists develop eco-friendly battery,real
Invisibility cloak becomes available on Amazon,fake
Man builds rocket to prove Earth is flat,fake
Invisibility cloak becomes available on Amazon,fake
New species of bird discovered in the Amazon,real
Stock market reaches record highs,real
Global climate deal reached at UN summit,real
NASA discovers water on the moon,real
"Moon made of cheese, researchers claim",fake
Scientists clone dinosaurs in secret lab,fake
Scientists develop eco-friendly battery,real
Vampire caught on CCTV in London,fake
Stock market reaches record highs,real
New species of bird discovered in the Amazon,real
New species of bird discovered in the Amazon,real
Medical breakthrough in cancer treatment,real
Government hiding the existence of mermaids,fake
Aliens land in New York City,fake
Stock market reaches record highs,real
Scientists clone dinosaurs in secret lab,fake
India launches successful Mars mission,real
Man builds rocket to prove Earth is flat,fake
Global climate deal reached at UN summit,real
Apple announces new iPhone model,real
Global climate deal reached at UN summit,real
Scientists clone dinosaurs in secret lab,fake
Stock market reaches record highs,real
"Moon made of cheese, researchers claim",fake
Global climate deal reached at UN summit,real
Scientists develop eco-friendly battery,real
Medical breakthrough in cancer treatment,real
Electric cars outsell gasoline vehicles in Europe,real
"Moon made of cheese, researchers claim",fake
Scientists clone dinosaurs in secret lab,fake
Aliens land in New York City,fake
Vampire caught on CCTV in London,fake
Aliens land in New York City,fake
"Moon made of cheese, researchers claim",fake
Apple announces new iPhone model,real
Electric cars outsell gasoline vehicles in Europe,real
Global climate deal reached at UN summit,real
Electric cars outsell gasoline vehicles in Europe,real
Global climate deal reached at UN summit,real
Scientists develop eco-friendly battery,real
Electric cars outsell gasoline vehicles in Europe,real
Global climate deal reached at UN summit,real
Global climate deal reached at UN summit,real
NASA discovers water on the moon,real
Apple announces new iPhone model,real
Scientists clone dinosaurs in secret lab,fake
Scientists develop eco-friendly battery,real
Cure for aging found in remote jungle,fake
Medical breakthrough in cancer treatment,real
New species of bird discovered in the Amazon,real
"Moon made of cheese, researchers claim",fake
Electric cars outsell gasoline vehicles in Europe,real
Government hiding the existence of mermaids,fake
Electric cars outsell gasoline vehicles in Europe,real
New species of bird discovered in the Amazon,real
Scientists clone dinosaurs in secret lab,fake
Scientists clone dinosaurs in secret lab,fake
Invisibility cloak becomes available on Amazon,fake
Vampire caught on CCTV in London,fake
Government hiding the existence of mermaids,fake
Stock market reaches record highs,real
Cure for aging found in remote jungle,fake
Invisibility cloak becomes available on Amazon,fake
Stock market reaches record highs,real
Aliens land in New York City,fake
Stock market reaches record highs,real
Medical breakthrough in cancer treatment,real
"Moon made of cheese, researchers claim",fake
Medical breakthrough in cancer treatment,real
Scientists develop eco-friendly battery,real
"Moon made of cheese, researchers claim",fake
Scientists develop eco-friendly battery,real
NASA discovers water on the moon,real
Invisibility cloak becomes available on Amazon,fake
Aliens land in New York City,fake
Scientists clone dinosaurs in secret lab,fake
COVID-19 vaccines reduce hospitalization rates,real
Apple announces new iPhone model,real
Cure for aging found in remote jungle,fake
New species of bird discovered in the Amazon,real
NASA discovers water on the moon,real
Man builds rocket to prove Earth is flat,fake
Government hiding the existence of mermaids,fake
Aliens land in New York City,fake
COVID-19 vaccines reduce hospitalization rates,real
Scientists develop eco-friendly battery,real
Government hiding the existence of mermaids,fake
Time traveler reveals winning lottery numbers,fake
"Moon made of cheese, researchers claim",fake
Vampire caught on CCTV in London,fake
India launches successful Mars mission,real
India launches successful Mars mission,real
Scientists clone dinosaurs in secret lab,fake
Government hiding the existence of mermaids,fake
Apple announces new iPhone model,real
Cure for aging found in remote jungle,fake
Aliens land in New York City,fake
Electric cars outsell gasoline vehicles in Europe,real
Cure for aging found in remote jungle,fake
"Moon made of cheese, researchers claim",fake
Government hiding the existence of mermaids,fake
Man builds rocket to prove Earth is flat,fake
Government hiding the existence of mermaids,fake
Man builds rocket to prove Earth is flat,fake
India launches successful Mars mission,real
NASA discovers water on the moon,real
Invisibility cloak becomes available on Amazon,fake
Government hiding the existence of mermaids,fake
Invisibility cloak becomes available on Amazon,fake
New species of bird discovered in the Amazon,real
Global climate deal reached at UN summit,real
Scientists develop eco-friendly battery,real
Scientists clone dinosaurs in secret lab,fake
Time traveler reveals winning lottery numbers,fake
"Moon made of cheese, researchers claim",fake
Scientists clone dinosaurs in secret lab,fake
Global climate deal reached at UN summit,real
Medical breakthrough in cancer treatment,real
Apple announces new iPhone model,real
Electric cars outsell gasoline vehicles in Europe,real
Government hiding the existence of mermaids,fake
Scientists clone dinosaurs in secret lab,fake
Scientists clone dinosaurs in secret lab,fake
Man builds rocket to prove Earth is flat,fake
Scientists clone dinosaurs in secret lab,fake
Vampire caught on CCTV in London,fake
Invisibility cloak becomes available on Amazon,fake
India launches successful Mars mission,real
NASA discovers water on the moon,real
Aliens land in New York City,fake
Aliens land in New York City,fake
Time traveler reveals winning lottery numbers,fake
Government hiding the existence of mermaids,fake
Time traveler reveals winning lottery numbers,fake
Aliens land in New York City,fake
Invisibility cloak becomes available on Amazon,fake
Cure for aging found in remote jungle,fake
Time traveler reveals winning lottery numbers,fake
Apple announces new iPhone model,real
Stock market reaches record highs,real
New species of bird discovered in the Amazon,real
NASA discovers water on the moon,real
Global climate deal reached at UN summit,real
Cure for aging found in remote jungle,fake
Man builds rocket to prove Earth is flat,fake
Cure for aging found in remote jungle,fake
Stock market reaches record highs,real
Scientists develop eco-friendly battery,real
Electric cars outsell gasoline vehicles in Europe,real
"Moon made of cheese, researchers claim",fake
Apple announces new iPhone model,real
Electric cars outsell gasoline vehicles in Europe,real
India launches successful Mars mission,real
Electric cars outsell gasoline vehicles in Europe,real
Man builds rocket to prove Earth is flat,fake
Apple announces new iPhone model,real
Vampire caught on CCTV in London,fake
COVID-19 vaccines reduce hospitalization rates,real
NASA discovers water on the moon,real
Government hiding the existence of mermaids,fake
India launches successful Mars mission,real
Apple announces new iPhone model,real
COVID-19 vaccines reduce hospitalization rates,real
"Moon made of cheese, researchers claim",fake
NASA discovers water on the moon,real
Robot becomes president of small country,fake
NASA discovers water on the moon,real
Medical breakthrough in cancer treatment,real
New species of bird discovered in the Amazon,real
Government hiding the existence of mermaids,fake
Aliens land in New York City,fake
Global climate deal reached at UN summit,real
Vampire caught on CCTV in London,fake
Scientists clone dinosaurs in secret lab,fake
Medical breakthrough in cancer treatment,real
India launches successful Mars mission,real
Scientists develop eco-friendly battery,real
COVID-19 vaccines reduce hospitalization rates,real
Global climate deal reached at UN summit,real
Cure for aging found in remote jungle,fake
Stock market reaches record highs,real
"Moon made of cheese, researchers claim",fake
New species of bird discovered in the Amazon,real
India launches successful Mars mission,real
Cure for aging found in remote jungle,fake
Vampire caught on CCTV in London,fake
New species of bird discovered in the Amazon,real
Aliens land in New York City,fake
Electric cars outsell gasoline vehicles in Europe,real
Invisibility cloak becomes available on Amazon,fake
Government hiding the existence of mermaids,fake
Invisibility cloak becomes available on Amazon,fake
Stock market reaches record highs,real
Cure for aging found in remote jungle,fake
COVID-19 vaccines reduce hospitalization rates,real
Aliens land in New York City,fake
Electric cars outsell gasoline vehicles in Europe,real
Aliens land in New York City,fake
COVID-19 vaccines reduce hospitalization rates,real
Scientists develop eco-friendly battery,real
Medical breakthrough in cancer treatment,real
Global climate deal reached at UN summit,real
Global climate deal reached at UN summit,real
Medical breakthrough in cancer treatment,real
Scientists develop eco-friendly battery,real
Robot becomes president of small country,fake
Robot becomes president of small country,fake
"Moon made of cheese, researchers claim",fake
Electric cars outsell gasoline vehicles in Europe,real
Robot becomes president of small country,fake
New species of bird discovered in the Amazon,real
India launches successful Mars mission,real
NASA discovers water on the moon,real
COVID-19 vaccines reduce hospitalization rates,real
Scientists clone dinosaurs in secret lab,fake
COVID-19 vaccines reduce hospitalization rates,real
Medical breakthrough in cancer treatment,real
Electric cars outsell gasoline vehicles in Europe,real
Government hiding the existence of mermaids,fake
Cure for aging found in remote jungle,fake
NASA discovers water on the moon,real
